elapsed_s,x_unit,y_unit,radius_unit,radial_error_unit
6.984,366.1875,162.3125,152.76986879780972,2.769868797809721
6.984,364.71875,161.34375,153.01657513362727,3.0165751336272706
7.062,363.234375,160.40625,153.24816873523523,3.2481687352352253
7.062,361.8125,159.53125,153.46743916157752,3.4674391615775164
7.062,360.453125,158.6875,153.70036752888922,3.700367528889217
7.078,359.046875,157.8125,153.96044493153306,3.960444931533061
7.156,357.734375,156.78125,154.4178370791507,4.417837079150701
7.156,355.65625,155.546875,154.80414557216523,4.8041455721652255
7.156,354.265625,154.75,155.05586269677335,5.055862696773346
7.156,352.875,153.921875,155.3530953296896,5.353095329689609
7.187,351.40625,153.015625,155.71451131221883,5.714511312218832
7.266,350.046875,152.265625,155.98120160425182,5.981201604251822
7.266,348.625,151.578125,156.18400559441298,6.18400559441298
7.266,347.296875,150.828125,156.49039164044945,6.490391640449445
7.266,345.921875,150.171875,156.70764386120817,6.707643861208169
7.281,344.421875,149.671875,156.75410088585002,6.754100885850022
7.375,342.890625,149.3125,156.67267907692337,6.672679076923373
7.375,341.140625,148.953125,156.5493834949734,6.549383494973398
7.375,339.46875,148.6875,156.37536533230707,6.375365332307069
7.375,336.796875,148.3125,156.0868593636749,6.086859363674904
7.5,334.75,148.109375,155.8150328527085,5.815032852708498
7.5,332.765625,147.953125,155.53725720516692,5.537257205166924
7.578,330.953125,147.78125,155.3339750306678,5.333975030667801
7.578,329.234375,147.703125,155.0773575232898,5.077357523289805
7.578,327.453125,147.765625,154.6899447407822,4.6899447407822095
7.578,325.75,147.765625,154.39678569076696,4.396785690766961
7.578,324.046875,147.828125,154.060156232172,4.060156232172005
7.578,322.28125,147.84375,153.7789924392308,3.778992439230791
7.578,320.640625,148.0,153.39503055963263,3.3950305596326302
7.594,319.015625,148.28125,152.90576541027852,2.9057654102785193
7.672,317.34375,148.578125,152.411908631111,2.411908631111004
7.672,314.84375,149.09375,151.6345382923198,1.634538292319803
7.672,313.125,149.34375,151.22688679286662,1.2268867928666225
7.672,311.390625,149.53125,150.8992745656954,0.8992745656954071
7.703,309.890625,149.625,150.69991734533443,0.699917345334427
7.906,308.25,149.765625,150.46072554537488,0.46072554537488486
7.906,306.734375,149.796875,150.3540174601472,0.3540174601471904
7.906,304.96875,149.828125,150.25405324841697,0.25405324841696597
7.906,302.671875,149.71875,150.3049999753106,0.30499997531060785
7.906,300.96875,149.609375,150.3937450975044,0.393745097504393
7.906,298.84375,149.390625,150.6138132840183,0.6138132840183061
7.906,297.125,149.203125,150.8242789963394,0.8242789963393875
7.906,295.375,148.890625,151.18013704812753,1.1801370481275342
7.906,293.640625,148.515625,151.6178008003389,1.6178008003388982
7.984,291.9375,148.421875,151.79239732201881,1.7923973220188145
7.984,290.1875,148.109375,152.20725054720825,2.207250547208247
7.984,287.65625,147.828125,152.67169909671577,2.67169909671577
7.984,285.828125,147.734375,152.9237149615986,2.9237149615985913
8.0,283.921875,147.609375,153.23644700725168,3.2364470072516838
8.094,282.171875,147.6875,153.3523384147292,3.3523384147291893
8.094,280.46875,147.96875,153.28069253211572,3.2806925321157223
8.094,278.078125,148.765625,152.81493639417664,2.814936394176641
8.094,276.4375,149.265625,152.56488197776915,2.564881977769147
8.109,274.765625,149.765625,152.33890216645665,2.3389021664566485
8.187,273.171875,150.296875,152.08804662359645,2.0880466235964548
8.187,271.375,150.859375,151.86282181755556,1.862821817555556
8.187,269.625,151.28125,151.789022088432,1.7890220884320058
8.187,267.765625,151.671875,151.79027504308783,1.7902750430878314
8.219,265.0625,152.265625,151.8093358884447,1.809335888444707
8.281,263.328125,152.5625,151.92972988281664,1.9297298828166447
8.281,261.484375,152.765625,152.18874646563475,2.1887464656347504
8.281,259.65625,153.0,152.43561973522625,2.435619735226254
8.297,257.75,153.1875,152.7709810672498,2.7709810672498065
8.328,255.703125,153.4375,153.1103508617743,3.110350861774293
8.391,254.015625,153.9375,153.1300644889521,3.1300644889520868
8.391,252.296875,154.671875,152.9570268107394,2.957026810739393
8.391,250.671875,155.421875,152.76157286612118,2.7615728661211847
8.406,248.1875,156.59375,152.47913855774664,2.479138557746637
8.484,246.59375,157.34375,152.32541876891395,2.3254187689139485
8.484,245.0,158.046875,152.2356387225594,2.2356387225594005
8.484,243.328125,158.78125,152.16581997143157,2.1658199714315742
8.5,241.734375,159.546875,152.05907858101156,2.059078581011562
8.516,240.125,160.34375,151.95026748598536,1.9502674859853641
8.594,238.484375,161.25,151.77527670586085,1.775276705860847
8.594,237.015625,162.0625,151.637018568655,1.6370185686550087
8.594,235.359375,163.0,151.4840268820136,1.4840268820136089
8.594,233.828125,163.8125,151.4125232511024,1.4125232511024137
8.625,232.078125,164.703125,151.38898734148813,1.3889873414881322
8.703,230.5,165.4375,151.4507061926421,1.4507061926420874
8.703,228.203125,166.6875,151.41668968781357,1.416689687813573
8.703,226.578125,167.40625,151.5647527216606,1.5647527216605965
